id,id_passenger,date_created,date_close
7248420169,1522742876,2021-07-29T06:49:11.494Z,2021-07-29T06:49:59.427Z
7249886281,326599862,2021-07-29T13:28:18.267Z,2021-07-30T12:05:19.744Z
7248972813,1395476907,2021-07-29T09:16:41.709Z,2021-07-30T11:36:00.370Z
7249033763,1251428298,2021-07-29T09:34:25.531Z,2021-07-30T09:52:41.917Z
7250701332,1522970852,2021-07-29T16:27:11.892Z,2021-07-30T10:00:58.306Z
7251007186,1401880107,2021-07-29T17:27:15.679Z,2021-07-30T09:54:19.522Z
7250892209,357939409,2021-07-29T17:04:27.305Z,2021-07-30T09:59:53.411Z
7250453944,1497630809,2021-07-29T15:37:09.577Z,2021-07-30T09:54:29.261Z
7249930395,1464060377,2021-07-29T13:37:57.916Z,2021-07-30T09:45:20.255Z
7251206366,1521747528,2021-07-29T18:09:50.033Z,2021-07-30T12:10:06.062Z
7251150798,649427724,2021-07-29T17:57:20.738Z,2021-07-30T12:20:56.353Z
7250487478,479987506,2021-07-29T15:43:47.502Z,2021-07-29T15:48:59.139Z
7250512433,479987506,2021-07-29T15:48:59.140Z,2021-07-29T15:49:29.677Z
7249080499,390190998,2021-07-29T09:47:50.407Z,2021-07-30T12:26:17.401Z
7250217780,1404336967,2021-07-29T14:45:45.193Z,2021-07-30T12:20:04.553Z
7251484459,1249106885,2021-07-29T19:21:38.746Z,2021-07-30T12:30:02.583Z
7248906159,1502162154,2021-07-29T08:57:13.701Z,2021-07-30T12:30:47.631Z
7250019934,464523847,2021-07-29T13:59:18.401Z,2021-07-30T12:17:58.879Z
7249295112,466798662,2021-07-29T10:49:41.995Z,2021-07-30T12:07:53.322Z
7251498857,518712215,2021-07-29T19:25:57.971Z,2021-07-30T10:12:46.862Z
7249743980,1403775077,2021-07-29T12:52:35.182Z,2021-07-30T10:32:38.511Z
7250990235,655879431,2021-07-29T17:23:47.377Z,2021-07-30T10:20:38.582Z
7250019520,1371582230,2021-07-29T13:59:12.143Z,2021-07-30T12:50:16.836Z
7251297975,1499547307,2021-07-29T18:31:09.794Z,2021-07-30T12:45:28.170Z
7249121508,1277037303,2021-07-29T10:00:33.346Z,2021-07-30T13:06:47.565Z
7248847463,730290641,2021-07-29T08:41:02.399Z,2021-07-30T10:54:33.276Z
7249718772,1414581742,2021-07-29T12:45:58.706Z,2021-07-29T12:46:15.025Z
7250270312,463742031,2021-07-29T14:57:32.831Z,2021-07-30T10:53:05.985Z
7250333401,465177668,2021-07-29T15:11:21.585Z,2021-07-30T10:41:37.641Z
7249529367,1481883330,2021-07-29T11:55:47.907Z,2021-07-30T10:54:33.883Z
7250964544,1124330298,2021-07-29T17:18:39.114Z,2021-07-30T10:44:56.622Z
7249366711,1120469196,2021-07-29T11:10:39.008Z,2021-07-30T11:07:19.682Z
7251354141,1393609652,2021-07-29T18:45:52.120Z,2021-07-30T10:45:57.767Z
7251318974,1523033389,2021-07-29T18:36:32.604Z,2021-07-30T10:58:10.725Z
7250643464,1300372413,2021-07-29T16:15:51.379Z,2021-07-29T16:20:08.870Z
7249584751,1318132323,2021-07-29T12:10:56.429Z,2021-07-30T13:09:56.518Z
7249495534,493999083,2021-07-29T11:46:26.293Z,2021-07-30T12:49:48.609Z
7250644154,483381570,2021-07-29T16:15:57.761Z,2021-07-30T11:57:01.771Z
7248627629,1392180777,2021-07-29T07:42:24.144Z,2021-07-30T13:28:00.673Z
7251387468,1522964849,2021-07-29T18:54:48.141Z,2021-07-30T12:35:00.029Z
7249788991,1487255877,2021-07-29T13:03:49.533Z,2021-07-30T11:19:56.383Z
7250105264,250526488,2021-07-29T14:19:45.725Z,2021-07-30T11:12:53.662Z
7248579237,176283730,2021-07-29T07:31:14.754Z,2021-07-30T11:17:05.337Z
